trade_date,open,high,low,close,amt_change,pct_change
2014-10-01,1.6213,1.6251,1.616,1.6188,-0.0026,-0.16
2014-10-02,1.6187,1.6249,1.611,1.6157,-0.0031,-0.19
2014-10-03,1.6155,1.6158,1.595,1.5963,-0.0194,-1.2
2014-10-06,1.6072,1.6086,1.6069,1.6071,0.0108,0.68
2014-10-07,1.6071,1.6128,1.6023,1.6085,0.0014,0.09
2014-10-08,1.6089,1.6181,1.6029,1.616,0.0075,0.47
2014-10-09,1.6162,1.6226,1.6102,1.6119,-0.0041,-0.25
2014-10-10,1.6119,1.6135,1.6006,1.6075,-0.0044,-0.27
2014-10-13,1.6078,1.6126,1.6049,1.6063,-0.0012,-0.07
2014-10-14,1.6063,1.6102,1.5881,1.5888,-0.0175,-1.09
2014-10-15,1.5891,1.6068,1.5873,1.5986,0.0098,0.62
2014-10-16,1.5985,1.6109,1.594,1.6092,0.0106,0.66
2014-10-17,1.6095,1.6125,1.6027,1.6093,0.0001,0.01
2014-10-20,1.6089,1.6179,1.6077,1.6154,0.0061,0.38
2014-10-21,1.6154,1.6184,1.6104,1.611,-0.0044,-0.27
2014-10-22,1.6108,1.6131,1.6009,1.6041,-0.0069,-0.43
2014-10-23,1.6023,1.6038,1.6019,1.602,-0.0021,-0.13
2014-10-24,1.6023,1.6098,1.6015,1.6088,0.0068,0.42
2014-10-27,1.6088,1.6147,1.6077,1.6122,0.0034,0.21
2014-10-28,1.6122,1.6182,1.6086,1.6141,0.0019,0.12
2014-10-29,1.614,1.6161,1.6,1.6001,-0.014,-0.87
2014-10-30,1.6,1.6038,1.5949,1.5997,-0.0004,-0.02
2014-10-31,1.5997,1.6014,1.5941,1.5995,-0.0002,-0.01
2014-11-03,1.597,1.6018,1.5925,1.5973,-0.0022,-0.14
2014-11-04,1.5973,1.6015,1.5963,1.6003,0.003,0.19
2014-11-05,1.6002,1.6021,1.5867,1.5961,-0.0042,-0.26
2014-11-06,1.5961,1.6001,1.5822,1.5838,-0.0123,-0.77
2014-11-07,1.5825,1.5886,1.5788,1.5873,0.0035,0.22
2014-11-10,1.588,1.5917,1.5838,1.5848,-0.0025,-0.16
2014-11-11,1.5848,1.5944,1.5832,1.5924,0.0076,0.48
2014-11-12,1.5923,1.594,1.5758,1.5767,-0.0157,-0.99
2014-11-13,1.5767,1.578,1.5692,1.5698,-0.0069,-0.44
2014-11-14,1.5698,1.5711,1.5591,1.5667,-0.0031,-0.2
2014-11-17,1.5664,1.5736,1.5618,1.5635,-0.0032,-0.2
2014-11-18,1.5637,1.5679,1.5618,1.5626,-0.0009,-0.06
2014-11-19,1.5626,1.572,1.5588,1.5671,0.0045,0.29
2014-11-20,1.5671,1.5736,1.563,1.5691,0.002,0.13
2014-11-21,1.5689,1.5713,1.5625,1.5654,-0.0037,-0.24
2014-11-24,1.5644,1.5714,1.5626,1.5696,0.0042,0.27
2014-11-25,1.5697,1.5735,1.5647,1.5718,0.0022,0.14
2014-11-26,1.5786,1.5799,1.578,1.5787,0.0069,0.44
2014-11-27,1.5786,1.5825,1.5714,1.5724,-0.0063,-0.4
2014-11-28,1.5724,1.5741,1.5612,1.5646,-0.0078,-0.5
2014-12-01,1.561,1.5763,1.5585,1.5732,0.0086,0.55
2014-12-02,1.5664,1.5743,1.5629,1.5646,-0.0086,-0.55
2014-12-03,1.5645,1.5718,1.5618,1.5689,0.0043,0.27
2014-12-04,1.5689,1.5725,1.5641,1.5677,-0.0012,-0.08
